Region,Region code,ISO Code,Map Region,Population,Area
Lombardia,3,IT-25,Lombardia,10060574,23864
Emilia Romagna,8,IT-45,Emilia-Romagna,4489477,22453
Veneto,5,IT-34,Veneto,4905854,18020
Marche,11,IT-57,Marche,1525271,9401
Piemonte,1,IT-21,Piemonte,4356406,25387
Campania,15,IT-72,Campania,5801692,13671
Liguria,7,IT-42,Liguria,1550640,5416
Toscana,9,IT-52,Toscana,3729641,22987
Lazio,12,IT-62,Lazio,5879082,17232
Friuli Venezia Giulia,6,IT-36,Friuli-Venezia Giulia,1215220,7924
Umbria,10,IT-55,Umbria,882015,8464
Sicilia,19,IT-82,Sicilia,4999891,25832
Puglia,16,IT-75,Puglia,4029053,19541
Abruzzo,13,IT-65,Abruzzo,1311580,10832
P.A. Trento,24,IT-32,Trentino-Alto Adige,541380,6207
Molise,14,IT-67,Molise,305617,4461
Calabria,18,IT-78,Calabria,1947131,15222
Sardegna,20,IT-88,Sardegna,1639591,24100
Basilicata,17,IT-77,Basilicata,562869,10073
P.A. Bolzano,4,IT-32,Trentino-Alto Adige,533050,7400
Valle d'Aosta,2,IT-23,Valle d'Aosta,125666,3261